Campaign Name,Campaign Group Name,Campaign Status,Cost,Clicks,CTR
GG_Services_Company_UK_202511,,Enabled,"€1,622.60",902,10.57%
GG_Services_MTD_PLG_UK_202512,,Enabled,€920.23,"1,083",7.06%
GG_Knowledge_UK_202511,,Enabled,€532.32,"3,124",8.87%
GG_Exp_Dynamic_AI_Analyser_Valuation_202602,,Enabled,€508.66,"1,111",10.93%
GG_Exp_Dynamic_AI_Analyser_202512,,Enabled,€487.00,949,13.60%
GG_Services_MTD_PLG_YouTube_202602,,Enabled,€245.46,35,0.03%
GG_PLG_AI_Analyser_Display_UK_202601,,Enabled,€221.44,844,6.09%
GG_Services_Property_UK_202511,,Paused,€205.26,184,12.84%
EXP_UK_GGCompany_GA_Company-Test URL Test,,Enabled,€0.00,0,0.00%
EXP_UK_GGCompany_GA_Company-Test URL Test 2,,Enabled,€0.00,0,0.00%
EXP_UK_GGCompany_GA_Accounting-Tax Demo_URL,,Enabled,€0.00,0,0.00%
EXP_UK_GGCompany_GA_Accounting-Tax Lead Form _ Stock Test,,Enabled,€0.00,0,0.00%
Conv_UK_Property&Mortgages_Phrase LP_Test_1_Property,,Enabled,€0.00,0,0.00%
