Search terms report
10 February 2026 - 23 February 2026
Search term,Match type,Added/Excluded,Campaign,Ad group,Currency code,Avg. CPM,Avg. CPM (Converted currency),Clicks,Impr.,CTR,Avg. CPC,Avg. CPC (Converted currency),Cost,Cost (Converted currency),Campaign type,Account,Converted currency code
hmrc new tax rules,Broad match,None,GG_Services_MTD_PLG_UK_202512,GG_Services_MTD_PLG_UK_202511,GBP,144.00,165.58,1,5,20.00%,0.72,0.83,0.72,0.83,Search,GetGround Search,EUR
rules for renting,Phrase match (close variant),None,GG_Knowledge_UK_202511,GG_Knowledge_Landlord Basics_UK_202511,GBP,0.00,0,0,1,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
buying to let guide,Exact match (close variant),None,GG_Knowledge_UK_202511,GG_Knowledge_Landlord Basics_UK_202511,GBP,0.00,0,0,1,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
cost to set up limited company,Exact match (close variant),None,GG_Services_Company_UK_202511,GG_Services_CompanyFormation_UK_202511,GBP,0.00,0,0,1,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
open new company companies house,Phrase match (close variant),None,GG_Services_Company_UK_202511,GG_Services_CompanyFormation_UK_202511,GBP,5010.00,5760.80,1,1,100.00%,5.01,5.76,5.01,5.76,Search,GetGround Search,EUR
do i have to make tax digital,Broad match,None,GG_Services_MTD_PLG_UK_202512,GG_Services_MTD_PLG_UK_202511,GBP,0.00,0,0,2,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
setting up a management company,Phrase match (close variant),None,GG_Services_Company_UK_202511,GG_Services_CompanyFormation_UK_202511,GBP,0.00,0,0,2,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
landlord register wales,Broad match,None,GG_Services_MTD_PLG_UK_202512,GG_Services_MTD_PLG_UK_202511,GBP,0.00,0,0,1,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
house value calculator by postcode northern ireland,Phrase match (close variant),None,GG_Exp_Dynamic_AI_Analyser_Valuation_202602,Valuation,GBP,0.00,0,0,1,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
buy to let rules uk,Phrase match (close variant),None,GG_Knowledge_UK_202511,GG_Knowledge_Landlord 2026 Guide_UK_202512,GBP,8.75,10.06,1,8,12.50%,0.07,0.08,0.07,0.08,Search,GetGround Search,EUR
how much profit from rental property,Exact match (close variant),None,GG_Exp_Dynamic_AI_Analyser_202512,Rental Yield Analysis,GBP,0.00,0,0,3,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
how much deposit do you need for buy to let,Phrase match (close variant),None,GG_Knowledge_UK_202511,GG_Knowledge_Landlord Basics_UK_202511,GBP,0.00,0,0,2,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
2026 landlord changes,Phrase match (close variant),None,GG_Knowledge_UK_202511,GG_Knowledge_Landlord 2026 Guide_UK_202512,GBP,46.25,53.18,2,8,25.00%,0.19,0.21,0.37,0.43,Search,GetGround Search,EUR
nrla mtd software,Phrase match (close variant),None,GG_Services_MTD_PLG_UK_202512,GG_Services_MTD_PLG_UK_202511,GBP,0.00,0,0,1,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
buy to let limited company mortgage calculator,Phrase match,None,GG_Services_Company_UK_202511,GG_Services_CompanyFormation_UK_202511,GBP,0.00,0,0,1,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
average rent prices in my area,Phrase match (close variant),None,GG_Exp_Dynamic_AI_Analyser_202512,Standard Deal Analysis,GBP,0.00,0,0,1,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
is renting property a good investment,Phrase match (close variant),None,GG_Knowledge_UK_202511,GG_Knowledge_Property Investment_UK_202511,GBP,0.00,0,0,1,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
project houses for sale,Broad match,None,GG_Services_Property_UK_202511,GG_Services_Property Marketplace_UK_202511,GBP,0.00,0,0,1,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
make tax digital threshold,Broad match,None,GG_Services_MTD_PLG_UK_202512,GG_Services_MTD_PLG_UK_202511,GBP,0.00,0,0,2,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
buying a property through a limited company stamp duty,Phrase match,None,GG_Services_Company_UK_202511,GG_Services_CompanyFormation_UK_202511,GBP,0.00,0,0,1,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
mtd for sole traders,Broad match,None,GG_Services_MTD_PLG_UK_202512,GG_Services_MTD_PLG_UK_202511,GBP,0.00,0,0,1,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
new rules for landlords march 2026,Phrase match,None,GG_Knowledge_UK_202511,GG_Knowledge_Landlord 2026 Guide_UK_202512,GBP,0.00,0,0,10,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
house price heatmap,Phrase match (close variant),None,GG_Exp_Dynamic_AI_Analyser_Valuation_202602,Valuation,GBP,0.00,0,0,1,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
estimate house value,Phrase match (close variant),None,GG_Exp_Dynamic_AI_Analyser_Valuation_202602,Valuation,GBP,0.00,0,0,2,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
house worth zoopla,Exact match (close variant),None,GG_Exp_Dynamic_AI_Analyser_202512,Competitor Targeting,GBP,0.00,0,0,2,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
what is mtd for income tax,Exact match,Added,GG_Services_MTD_PLG_UK_202512,GG_Services_MTD_Informational_PLG_UK_202602,GBP,0.00,0,0,11,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
buying to rent uk,Phrase match (close variant),None,GG_Exp_Dynamic_AI_Analyser_202512,Landlord Basics_FTL,GBP,0.00,0,0,1,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
mtd income tax threshold,Phrase match (close variant),None,GG_Services_MTD_PLG_UK_202512,GG_Services_MTD_PLG_UK_202511,GBP,0.00,0,0,1,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
landlord legal obligations,Phrase match (close variant),None,GG_Knowledge_UK_202511,GG_Knowledge_Landlord 2026 Guide_UK_202512,GBP,0.00,0,0,4,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
landlords rules 2026,Exact match (close variant),None,GG_Knowledge_UK_202511,GG_Knowledge_Landlord 2026 Guide_UK_202512,GBP,30.00,34.50,1,5,20.00%,0.15,0.17,0.15,0.17,Search,GetGround Search,EUR
when does making tax digital come in,Phrase match (close variant),None,GG_Services_MTD_PLG_UK_202512,GG_Services_MTD_PLG_UK_202511,GBP,0.00,0,0,2,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
how to work out gross yield,Phrase match (close variant),None,GG_Exp_Dynamic_AI_Analyser_202512,Rental Yield Analysis,GBP,0.00,0,0,2,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
rental percentage of income,Phrase match (close variant),None,GG_Exp_Dynamic_AI_Analyser_202512,Rental Yield Analysis,GBP,0.00,0,0,1,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
self employed tax return calculator,Broad match,None,GG_Services_MTD_PLG_UK_202512,GG_Services_MTD_PLG_UK_202511,GBP,0.00,0,0,1,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
what is hmrc cumbernauld,Broad match,None,GG_Services_MTD_PLG_UK_202512,GG_Services_MTD_PLG_UK_202511,GBP,0.00,0,0,1,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
capital gains tax calculator,Broad match,None,GG_Services_MTD_PLG_UK_202512,GG_Services_MTD_PLG_UK_202511,GBP,40.00,45.99,1,17,5.88%,0.68,0.78,0.68,0.78,Search,GetGround Search,EUR
buy to let house,Phrase match (close variant),None,GG_Knowledge_UK_202511,GG_Knowledge_Landlord Basics_UK_202511,GBP,0.00,0,0,1,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
registering as a landlord uk,Phrase match (close variant),None,GG_Knowledge_UK_202511,GG_Knowledge_Landlord 2026 Guide_UK_202512,GBP,0.00,0,0,1,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
what is mtd tax,Exact match (close variant),None,GG_Services_MTD_PLG_UK_202512,GG_Services_MTD_PLG_UK_202511,GBP,0.00,0,0,2,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
tips for first time landlords,Exact match (close variant),None,GG_Knowledge_UK_202511,GG_Knowledge_Landlord Basics_UK_202511,GBP,0.00,0,0,2,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
new tenancy rules uk,Phrase match (close variant),None,GG_Knowledge_UK_202511,GG_Knowledge_Landlord 2026 Guide_UK_202512,GBP,8.25,9.48,2,39,5.13%,0.16,0.18,0.32,0.37,Search,GetGround Search,EUR
what do landlords have to pay for,Phrase match (close variant),None,GG_Knowledge_UK_202511,GG_Knowledge_Landlord Basics_UK_202511,GBP,0.00,0,0,4,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
landlord scotland requirements,Phrase match (close variant),None,GG_Knowledge_UK_202511,GG_Knowledge_Landlord 2026 Guide_UK_202512,GBP,0.00,0,0,1,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
how can i check the value of my house,Exact match (close variant),None,GG_Exp_Dynamic_AI_Analyser_Valuation_202602,Valuation,GBP,0.00,0,0,1,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
buy to let mortgages calculator,Exact match (close variant),None,GG_Exp_Dynamic_AI_Analyser_202512,Rental Yield Analysis,GBP,0.00,0,0,2,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
free agent,Broad match,None,GG_Services_MTD_PLG_UK_202512,GG_Services_MTD_PLG_UK_202511,GBP,0.00,0,0,1,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
letting a flat for the first time,Phrase match (close variant),None,GG_Knowledge_UK_202511,GG_Knowledge_Landlord Basics_UK_202511,GBP,0.00,0,0,1,0.00%,0,0,0.00,0,Search,GetGround Search,EUR
when does tax go digital for sole traders,Broad match,None,GG_Services_MTD_PLG_UK_202512,GG_Services_MTD_PLG_UK_202511,GBP,302.31,347.61,5,13,38.46%,0.79,0.90,3.93,4.52,Search,GetGround Search,EUR
